source_station,target_station,weight,training_abs_correlation,distance_weight,distance_km,mutual_training_days,selected_directed,symmetrized_support
P345,P349,0.09701760,0.65287769,0.87671554,51.298,3518,0,1
P345,P367,0.07206271,0.70201313,0.00000000,,3562,1,1
P345,P380,0.07162359,0.69773549,0.00000000,,3571,1,1
P345,P382,0.06635860,0.64644545,0.00000000,,3564,0,1
P345,P398,0.07329309,0.71399921,0.00000000,,3571,1,1
P345,P401,0.07126051,0.69419843,0.00000000,,3565,1,1
P345,P414,0.07310264,0.71214390,0.00000000,,3559,1,1
P345,P425,0.07158267,0.69733673,0.00000000,,3571,1,1
P345,UCLU,0.07096238,0.69129413,0.00000000,,3557,1,1
P349,P169,0.09402350,0.64240712,0.00000000,,3595,1,1
P349,P345,0.13832837,0.65287769,0.87671554,51.298,3518,1,1
P349,P367,0.09515525,0.65013963,0.00000000,,3586,1,1
P349,P377,0.09549435,0.65245658,0.00000000,,3576,1,1
P349,P380,0.09481763,0.64783293,0.00000000,,3595,1,1
P349,P398,0.09647053,0.65912622,0.00000000,,3596,1,1
P349,P414,0.09618205,0.65715522,0.00000000,,3583,1,1
P349,P420,0.09438001,0.64484298,0.00000000,,3596,1,1
P362,P155,0.08596849,0.62968737,0.00000000,,3611,1,1
P362,P158,0.07226548,0.52931786,0.00000000,,3629,0,1
P362,P164,0.08465908,0.62009639,0.00000000,,3562,1,1
P362,P167,0.08761369,0.64173782,0.00000000,,3596,1,1
P362,P169,0.09169499,0.67163181,0.00000000,,3628,1,1
P362,P366,0.08996058,0.65892792,0.00000000,,3581,1,1
P362,P376,0.08868422,0.64957905,0.00000000,,3600,1,1
P362,P377,0.08556072,0.62670052,0.00000000,,3607,1,1
P362,P733,0.13155852,0.64508516,0.95559675,30.139,3627,1,1
P364,CABL,0.08874107,0.54917473,0.95331031,30.924,3547,0,1
P364,P062,0.06700954,0.65464127,0.00000000,,3598,0,1
P364,P365,0.10614600,0.72479451,0.93655670,36.206,3597,1,1
P364,P367,0.07026154,0.68641132,0.00000000,,3588,1,1
P364,P398,0.06987853,0.68266952,0.00000000,,3597,1,1
P364,P401,0.07059156,0.68963540,0.00000000,,3591,1,1
P364,P412,0.07568346,0.73938012,0.00000000,,3594,1,1
P364,P414,0.06951776,0.67914510,0.00000000,,3585,1,1
P364,P427,0.07950789,0.77674240,0.00000000,,3598,1,1
P364,P732,0.10044646,0.69279933,0.86549944,53.749,3546,1,1
P364,P784,0.06573533,0.64219308,0.00000000,,3566,0,1
P365,CABL,0.08684630,0.59643698,0.79843527,67.097,3587,0,1
P365,P062,0.06808612,0.67625058,0.00000000,,3648,0,1
P365,P364,0.10440500,0.72479451,0.93655670,36.206,3597,1,1
P365,P367,0.07076631,0.70287097,0.00000000,,3638,1,1
P365,P376,0.07050885,0.70031387,0.00000000,,3619,1,1
P365,P377,0.08485727,0.70308226,0.41923258,131.858,3626,1,1
P365,P412,0.07442100,0.73917049,0.00000000,,3644,1,1
P365,P414,0.06997436,0.69500512,0.00000000,,3635,1,1
P365,P427,0.07087154,0.70391625,0.00000000,,3648,1,1
P365,P732,0.10690149,0.74241072,0.95809561,29.260,3596,1,1
P365,TPW2,0.05811942,0.57725859,0.00000000,,3647,0,1
P366,CORV,0.04242847,0.69095814,0.00000000,,3601,0,1
P366,CPXX,0.04100782,0.66782254,0.00000000,,3596,0,1
P366,DDSN,0.05334087,0.62865978,0.72002852,81.051,3583,0,1
P366,P164,0.04060692,0.66129369,0.00000000,,3535,0,1
P366,P167,0.03725621,0.60672659,0.00000000,,3569,0,1
P366,P168,0.04009000,0.65287554,0.00000000,,3601,0,1
P366,P326,0.04049533,0.65947652,0.00000000,,3602,0,1
P366,P362,0.04046164,0.65892792,0.00000000,,3581,0,1
P366,P367,0.05685401,0.74016982,0.55713505,108.162,3592,1,1
P366,P383,0.03956603,0.64434254,0.00000000,,3496,0,1
P366,P397,0.03824442,0.62281990,0.00000000,,3602,0,1
P366,P398,0.04401845,0.71685147,0.00000000,,3601,1,1
P366,P404,0.04325460,0.70441192,0.00000000,,3592,1,1
P366,P407,0.03905661,0.63604647,0.00000000,,3522,0,1
P366,P409,0.04327286,0.70470929,0.00000000,,3603,1,1
P366,P412,0.04331030,0.70531893,0.00000000,,3597,1,1
P366,P414,0.04506691,0.73392582,0.00000000,,3589,1,1
P366,P420,0.04368178,0.71136862,0.00000000,,3602,1,1
P366,P425,0.04429484,0.72135240,0.00000000,,3601,1,1
P366,P732,0.05905842,0.63925117,0.96758950,25.670,3569,0,1
P366,P734,0.04275977,0.69635350,0.00000000,,3602,0,1
P367,BCOV,0.01468374,0.61062914,0.00000000,,3632,0,1
P367,CORV,0.02437580,0.73516417,0.83553892,59.946,3639,0,1
P367,CPXX,0.01618809,0.67318797,0.00000000,,3634,0,1
P367,DDSN,0.01502712,0.62490875,0.00000000,,3621,0,1
P367,KTBW,0.01606755,0.66817540,0.00000000,,3599,0,1
P367,NANO,0.01705192,0.70911092,0.00000000,,3639,0,1
P367,NTKA,0.01643376,0.68340427,0.00000000,,3626,0,1
P367,OBSR,0.01076032,0.44747216,0.00000000,,3616,0,1
P367,P058,0.01627425,0.67677122,0.00000000,,3629,0,1
P367,P154,0.01521565,0.63274902,0.00000000,,3604,0,1
P367,P168,0.01586015,0.65955073,0.00000000,,3639,0,1
P367,P324,0.01708939,0.71066910,0.00000000,,3640,0,1
P367,P326,0.01577855,0.65615702,0.00000000,,3640,0,1
P367,P327,0.01556879,0.64743429,0.00000000,,3640,0,1
P367,P332,0.01610534,0.66974676,0.00000000,,3579,0,1
P367,P345,0.01688124,0.70201313,0.00000000,,3562,0,1
P367,P349,0.01563385,0.65013963,0.00000000,,3586,0,1
P367,P364,0.01650607,0.68641132,0.00000000,,3588,0,1
P367,P365,0.01690187,0.70287097,0.00000000,,3638,0,1
P367,P366,0.02226458,0.74016982,0.55713505,108.162,3592,0,1
P367,P374,0.02347748,0.67330021,0.90906042,43.668,3556,0,1
P367,P375,0.02483502,0.74087590,0.87569475,51.524,3638,0,1
P367,P376,0.02336461,0.74025857,0.69410437,85.456,3611,0,1
P367,P377,0.01827174,0.75983739,0.00000000,,3618,1,1
